date,weekday,steps taken,weather,number of classes,caffeine consumed mg,on call
1/21/2026,Yes,6058,Overcast,1,80,No
1/22/2026,Yes,9620,Overcast,3,100,No
1/24/2026,No,10407,Sunny,0,95,No
1/25/2026,No,4454,Sunny,0,0,No
1/26/2026,Yes,3598,Sunny,0,150,No
1/27/2026,Yes,10768,Sunny,3,100,Yes
1/28/2026,Yes,8296,Sunny,1,95,No
1/29/2026,Yes,2915,Sunny,3,95,No
1/30/2026,Yes,4483,Sunny,2,170,No
1/31/2026,No,5334,Sunny,0,170,Yes
2/1/2026,No,5463,Sunny,0,0,No
2/2/2026,Yes,6718,Sunny,0,0,No
2/3/2026,Yes,11217,Sunny,3,95,Yes
2/4/2026,Yes,4928,Sunny,1,100,No
2/5/2026,Yes,7208,Overcast,3,0,No
2/6/2026,Yes,3921,Sunny,2,0,No
2/7/2026,No,2661,Sunny,0,0,No
2/8/2026,No,8550,Sunny,0,45,No
2/9/2026,Yes,9738,Overcast,0,150,Yes
2/10/2026,Yes,8046,Overcast,3,95,No
2/11/2026,Yes,6410,Sunny,0,0,No
2/12/2026,Yes,9913,Sunny,3,,No
2/13/2026,Yes,6617,Sunny,2,,No
2/14/2026,No,5302,Sunny,0,,Yes
2/15/2026,No,4641,Overcast,0,0,No
2/16/2026,Yes,6780,Rainy,0,0,No
2/17/2026,Yes,2528,Rainy,3,0,No
2/18/2026,Yes,3759,Sunny,0,,No
2/19/2026,Yes,3300,Rainy,3,0,No
2/20/2026,Yes,3835,Sunny,2,95,No
2/21/2026,No,2043,Sunny,0,0,No
2/22/2026,No,2634,Sunny,0,0,No
2/23/2026,Yes,1823,Sunny,0,0,Yes
2/24/2026,Yes,4284,Sunny,3,0,No
2/25/2026,Yes,991,Sunny,0,0,No
2/26/2026,Yes,3221,Sunny,3,0,No
2/27/2026,Yes,4720,Sunny,2,0,Yes
2/28/2026,No,9056,Sunny,0,0,No
3/1/2026,No,5014,Sunny,0,0,Yes
3/2/2026,Yes,4016,Sunny,0,120,No
3/3/2026,Yes,4725,Sunny,3,275,No
3/4/2026,Yes,5017,Sunny,1,100,No
3/5/2026,Yes,6558,Sunny,3,200,No
3/6/2026,Yes,8280,Sunny,2,200,No
3/7/2026,No,4672,Sunny,0,200,No
3/8/2026,No,8424,Sunny,0,200,Yes
3/9/2026,Yes,6934,Sunny,0,200,No
3/10/2026,Yes,3181,Overcast,3,200,No
3/11/2026,Yes,5841,Sunny,1,50,No
